time,fdepan,fbelakang
33.6896,1.7139423,-2.0628185
33.69472,-1.4851159,0.69832569
33.69984,-4.7659793,3.7877305
33.70496,-6.5506835,5.5947547
33.71008,-5.96138,5.0538783
33.7152,-3.7588708,3.112112
33.72032,-0.87761927,0.74797857
33.72544,2.2854345,-1.9325328
33.73056,4.904222,-4.3903489
33.73568,6.019217,-5.3398008
33.7408,5.3951812,-4.5413232
33.74592,3.5020816,-2.7423623
33.75104,0.66790307,-0.20497425
33.75616,-2.8237712,3.0403914
33.76128,-5.5124049,5.8060975
33.7664,-5.9873338,6.2753596
33.77152,-4.4820147,4.5271125
33.77664,-1.9469405,1.9751891
33.78176,1.0278209,-0.83645666
33.78688,3.79597,-3.6784458
33.792,5.2866588,-5.4281783
33.79712,5.0133805,-5.3008633
33.80224,3.5467374,-3.830163
33.80736,1.2631862,-1.7708427
33.81248,-1.9143711,0.99316603
33.8176,-5.036077,4.0890427
33.82272,-6.417098,5.7780886
33.82784,-5.527545,5.1314344
33.83296,-3.2546804,3.071053
33.83808,-0.25829074,0.47796467
33.8432,3.0692642,-2.3137352
33.84832,5.4732971,-4.6276855
33.85344,5.9515333,-5.2173662
33.85856,4.8156738,-4.0333366
33.86368,2.778429,-2.0538003
33.8688,-0.063764594,0.4078353
33.87392,-3.4490793,3.2965066
33.87904,-5.7732153,5.589344
33.88416,-5.90133,5.7666302
33.88928,-4.3032641,3.9824164
33.8944,-1.6670468,1.4031204
33.89952,1.5248868,-1.5795519
33.90464,4.5133886,-4.3401656
33.90976,5.8811784,-5.7415857
33.91488,5.2846231,-5.1491466
33.92,3.4651866,-3.1813869
33.92512,0.88164014,-0.64368051
33.93024,-2.3824298,2.1636152
33.93536,-5.196507,4.7276335
33.94048,-6.1316066,5.6357079
33.9456,-5.1192818,4.5760226
33.95072,-2.9306397,2.3246689
33.95584,0.00455492,-0.50129992
33.96096,3.2852912,-3.3836055
33.96608,5.5446696,-5.3908329
33.9712,5.7627325,-5.6317763
33.97632,4.3935432,-4.1681843
33.98144,2.0909083,-1.7104743
33.98656,-0.95039165,1.2741078
33.99168,-4.0872369,4.2422452
33.9968,-5.6659651,5.9446588
34.00192,-5.0789514,5.6015449
34.00704,-3.2235105,3.7533555
34.01216,-0.64797914,1.0604308
34.01728,2.4891207,-1.9883392
34.0224,5.2030721,-4.6013737
34.02752,6.0869002,-5.7198358
34.03264,4.9598193,-5.0518565
34.03776,2.7099824,-3.0969346
34.04288,-0.23946153,-0.33091
34.048,-3.6843174,2.7281513
34.05312,-6.1879668,5.0165324
34.05824,-6.3981414,5.3137069
34.06336,-4.6371012,3.9331877
34.06848,-2.0926125,1.6223143
34.0736,0.99219817,-1.1473175
34.07872,4.1893477,-3.8123388
34.08384,6.1207418,-5.3141255
34.08896,5.9592943,-5.1021461
34.09408,4.2140293,-3.5199387
34.0992,1.6024938,-0.97215325
34.10432,-1.8097926,2.1393194
34.10944,-5.0844221,4.9681525
34.11456,-6.3486514,6.118444
34.11968,-5.2299666,5.0947251
34.1248,-2.8440001,2.9606073
34.12992,-0.11948889,0.23139793
34.13504,2.9536171,-2.7318587
34.14016,5.4402184,-4.9906392
34.14528,6.0167994,-5.6020694
34.1504,4.8203812,-4.5868382
34.15552,2.5840302,-2.52285
34.16064,-0.43004373,0.38693443
34.16576,-3.9614122,3.6952147
34.17088,-6.3813481,5.814055
34.176,-6.2430549,5.6085472
34.18112,-4.2019935,3.7442312
34.18624,-1.5716285,1.2011139
34.19136,1.35606,-1.7364677
34.19648,4.1507988,-4.5070543
34.2016,5.6258388,-5.8303876
34.20672,5.143404,-5.3802233
34.21184,3.3328731,-3.7677786
34.21696,0.81077611,-1.2593547
34.22208,-2.4577467,2.0304651
34.2272,-5.4267831,5.1406646
34.23232,-6.3162088,6.2183862
34.23744,-4.8037648,5.1368451
34.24256,-2.024802,2.962517
34.24768,1.0084828,0.19235466
34.2528,3.9630158,-2.7627327
34.25792,5.9403377,-4.8152628
34.26304,6.0542035,-5.1147714
34.26816,4.5446858,-4.0046906
34.27328,2.0784402,-2.0596356
34.2784,-1.1143839,0.73312515
34.28352,-4.5966434,3.8851264
34.28864,-6.7835045,5.6525769
34.29376,-6.534399,5.2194939
34.29888,-4.376164,3.2184203
34.304,-1.317943,0.46915871
34.30912,2.0161004,-2.5788686
34.31424,4.7211461,-5.0888839
34.31936,5.7791443,-5.7810531
34.32448,5.0696139,-4.7064085
34.3296,3.1411459,-2.740983
34.33472,0.41383591,-0.047315836
34.33984,-2.8048148,3.2222397
34.34496,-5.327548,5.8916111
34.35008,-5.9121442,6.4387469
34.3552,-4.5159836,4.9299583
34.36032,-1.7823122,2.4293854
34.36544,1.5106376,-0.74404722
34.37056,4.4899793,-3.9157822
34.37568,6.1034393,-5.7589855
34.3808,5.7769814,-5.5012784
34.38592,3.9492755,-3.8318605
34.39104,1.1537732,-1.4510698
34.39616,-2.2111857,1.4785545
34.40128,-5.138238,4.4327931
34.4064,-6.4198971,5.9091167
34.41152,-5.7073131,5.1200819
34.41664,-3.4587483,3.0673397
34.42176,-0.31592342,0.25081348
34.42688,3.0452187,-2.8749821
34.432,5.4549766,-5.3131704
34.43712,6.0543308,-5.887361
34.44224,4.9780121,-4.6799908
34.44736,2.6505685,-2.490597
34.45248,-0.57062674,0.34226808
34.4576,-3.9684095,3.4897072
34.46272,-6.0237203,5.6561842
34.46784,-5.9374619,5.6404819
34.47296,-4.2265477,4.0121231
34.47808,-1.4729023,1.6224204
34.4832,1.9732257,-1.3534617
34.48832,5.0735579,-4.2478623
34.49344,6.4936366,-5.6427045
34.49856,5.9757061,-5.0454907
34.50368,4.0275183,-3.0801716
34.5088,1.0443602,-0.4306401
34.51392,-2.6194489,2.7162685
34.51904,-5.5177484,5.3784251
34.52416,-6.2658281,5.9084802
34.52928,-5.1237345,4.3712578
34.5344,-2.980639,1.9108951
34.53952,-0.098624088,-0.9079653
34.54464,3.157558,-3.8719647
34.54976,5.2923837,-5.9163256
34.55488,5.503449,-5.9639626
34.56,4.2416372,-4.3328452
34.56512,1.9975256,-1.8883969
34.57024,-1.1626019,1.1533707
34.57536,-4.4723454,4.4212289
34.58048,-5.9637976,6.3062334
34.5856,-5.086585,5.7716165
34.59072,-2.9887815,3.7677844
34.59584,-0.42724478,1.2274257
34.60096,2.6630366,-1.6530763
34.60608,5.3732986,-4.3497143
34.6112,6.1617084,-5.5502949
34.61632,5.0953131,-4.8774352
34.62144,2.9935656,-3.0019789
34.62656,0.044121716,-0.36475459
34.63168,-3.7372427,2.8306398
34.6368,-6.5190048,5.5232463
34.64192,-6.5784187,5.8802586
34.64704,-4.6430807,4.1645827
34.65216,-2.0553358,1.7055997
34.65728,0.9210797,-1.0196842
34.6624,4.1399851,-3.6992407
34.66752,6.03512,-5.3670673
34.67264,5.7501373,-5.2077112
34.67776,4.1216645,-3.7279928
34.68288,1.7328987,-1.4873546
34.688,-1.7251884,1.4491659
34.69312,-5.3630438,4.5858893
34.69824,-6.9343925,6.0981793
34.70336,-5.8966227,5.1953039
34.70848,-3.5247779,2.8687284
34.7136,-0.59009206,0.038303506
34.71872,2.8167236,-2.8786955
34.72384,5.6039562,-5.0908999
34.72896,6.2187047,-5.4536414
34.73408,4.9934063,-4.0816102
34.7392,2.9436936,-1.8748167
34.74432,0.23279554,0.8615011
34.74944,-3.2246554,3.9103773
34.75456,-5.7835202,6.0926623
34.75968,-5.9056559,5.9533587
34.7648,-4.1150994,3.9317024
34.76992,-1.5735369,1.1165556
34.77504,1.379851,-1.9846258
34.78016,4.2023249,-4.7877841
34.78528,5.4973421,-6.162468
34.7904,4.673564,-5.5401096
34.79552,2.6702883,-3.6589243
34.80064,0.26511055,-1.0734748
34.80576,-2.7829323,1.9314777
